"tournament_id","season","trail","water","date","day","angler_id","name","finish","catch_time","tournament_hour","catch_latitude","catch_longitude","fish_weight","catch_number","keeper","dist_to_catch"
1522,2024,"elite","Toledo Bend","2024-02-22",1,3010,"Clark Wendlandt",45,"08:35:52",2,"31.57831","-93.76115",2.12,1,1,12.0099
1522,2024,"elite","Toledo Bend","2024-02-22",1,3010,"Clark Wendlandt",45,"09:56:38",3,"31.57705","-93.76129",2,2,1,0.0874
1522,2024,"elite","Toledo Bend","2024-02-22",1,3010,"Clark Wendlandt",45,"10:13:34",4,"31.57739","-93.76132",2.2,3,1,0.0236
1522,2024,"elite","Toledo Bend","2024-02-22",1,3010,"Clark Wendlandt",45,"11:56:03",5,"31.48787","-93.76541",1.5,4,0,6.1899
1522,2024,"elite","Toledo Bend","2024-02-22",1,3010,"Clark Wendlandt",45,"12:44:38",6,"31.47934","-93.75965",2,5,0,0.6801
1522,2024,"elite","Toledo Bend","2024-02-22",1,3010,"Clark Wendlandt",45,"12:47:04",6,"31.47894","-93.76060",2.2,6,1,0.0624
1522,2024,"elite","Toledo Bend","2024-02-22",1,3010,"Clark Wendlandt",45,"13:29:26",7,"31.48097","-93.76075",3.1,7,1,0.1405
1522,2024,"elite","Toledo Bend","2024-02-23",2,3010,"Clark Wendlandt",45,"07:25:58",1,"31.49006","-93.76200",2.12,1,1,6.9336
1522,2024,"elite","Toledo Bend","2024-02-23",2,3010,"Clark Wendlandt",45,"07:44:29",1,"31.48999","-93.76305",1.12,2,0,0.0621
1522,2024,"elite","Toledo Bend","2024-02-23",2,3010,"Clark Wendlandt",45,"07:49:56",1,"31.48999","-93.76305",1.8,3,1,0
1522,2024,"elite","Toledo Bend","2024-02-23",2,3010,"Clark Wendlandt",45,"08:21:29",2,"31.48969","-93.76401",2.8,4,1,0.0602
1522,2024,"elite","Toledo Bend","2024-02-23",2,3010,"Clark Wendlandt",45,"09:00:55",3,"31.48996","-93.76238",1.8,5,0,0.0978
1522,2024,"elite","Toledo Bend","2024-02-23",2,3010,"Clark Wendlandt",45,"10:05:58",4,"31.49273","-93.76167",1.12,6,0,0.1959
1522,2024,"elite","Toledo Bend","2024-02-23",2,3010,"Clark Wendlandt",45,"10:49:04",4,"31.47255","-93.75531",4,7,1,1.4438
1522,2024,"elite","Toledo Bend","2024-02-23",2,3010,"Clark Wendlandt",45,"13:06:57",7,"31.47921","-93.75994",2,8,1,0.535
1522,2024,"elite","Toledo Bend","2024-02-24",3,3010,"Clark Wendlandt",45,"07:44:34",1,"31.57688","-93.76139",2.12,1,1,11.9255
1522,2024,"elite","Toledo Bend","2024-02-24",3,3010,"Clark Wendlandt",45,"08:00:21",2,"31.57787","-93.76111",2.8,2,1,0.0704
1522,2024,"elite","Toledo Bend","2024-02-24",3,3010,"Clark Wendlandt",45,"09:05:49",3,"31.57875","-93.76088",3,3,1,0.0623
1522,2024,"elite","Toledo Bend","2024-02-24",3,3010,"Clark Wendlandt",45,"10:28:56",4,"31.57706","-93.76120",1.12,4,1,0.1183
1522,2024,"elite","Toledo Bend","2024-02-24",3,3010,"Clark Wendlandt",45,"11:53:08",5,"31.48262","-93.76151",1.8,5,1,6.5252
1522,2024,"elite","Toledo Bend","2024-02-23",2,7371,"Michael Iaconelli",89,"07:40:25",1,"31.39421","-93.63204",1.4,1,1,3.2432
1522,2024,"elite","Toledo Bend","2024-02-23",2,7371,"Michael Iaconelli",89,"08:04:51",2,"31.39380","-93.63215",2.8,2,1,0.0291
1522,2024,"elite","Toledo Bend","2024-02-23",2,7371,"Michael Iaconelli",89,"08:18:40",2,"31.39380","-93.63215",1.4,3,0,0
1522,2024,"elite","Toledo Bend","2024-02-23",2,7371,"Michael Iaconelli",89,"09:08:05",3,"31.37744","-93.62804",2,4,1,1.1561
1522,2024,"elite","Toledo Bend","2024-02-23",2,7371,"Michael Iaconelli",89,"10:01:38",4,"31.27933","-93.60288",4,5,1,6.9395
1522,2024,"elite","Toledo Bend","2024-02-23",2,7371,"Michael Iaconelli",89,"10:24:21",4,"31.28139","-93.60243",3,6,1,0.1448
1522,2024,"elite","Toledo Bend","2024-02-22",1,7511,"Bryan Schmitt",54,"12:01:42",6,"31.28671","-93.70319",1.6,1,0,9.2873
1522,2024,"elite","Toledo Bend","2024-02-22",1,7511,"Bryan Schmitt",54,"12:01:50",6,"31.28671","-93.70319",2,2,0,0
1522,2024,"elite","Toledo Bend","2024-02-22",1,7511,"Bryan Schmitt",54,"12:02:05",6,"31.28671","-93.70319",2,3,0,0
1522,2024,"elite","Toledo Bend","2024-02-22",1,7511,"Bryan Schmitt",54,"12:02:29",6,"31.28671","-93.70319",4.6,4,1,0
1522,2024,"elite","Toledo Bend","2024-02-22",1,7511,"Bryan Schmitt",54,"12:02:50",6,"31.28671","-93.70319",3.4,5,1,0
